"Date","Time","Lab_Temp_C","Lab_Pressure_kPa","Lab_Rel_Humidity","Gas_Flow_LPM","FlowSens_Gas_Temp_C","Thermocouple1_Temp_C","Thermocouple2_Temp_C","Purge_Gas"
"2024-08-25","12:21:46.387 PM","24.53","97.243","25.174","0","23.995","22.45","22.20","None"
"2024-08-25","12:21:46.640 PM","24.53","97.243","25.174","0","23.995","22.46","22.13","None"
"2024-08-25","12:21:46.886 PM","24.53","97.243","25.174","0","23.995","22.46","22.13","None"
"2024-08-25","12:21:47.144 PM","24.54","97.244","25.169","0","23.94","22.46","22.13","None"
"2024-08-25","12:21:47.397 PM","24.54","97.244","25.169","0","23.94","22.46","22.17","None"
"2024-08-25","12:21:47.643 PM","24.54","97.244","25.169","0","23.94","22.46","22.17","None"
"2024-08-25","12:21:47.885 PM","24.54","97.245","25.18","0","23.975","22.47","22.17","None"
"2024-08-25","12:21:48.137 PM","24.54","97.245","25.18","0","23.975","22.47","22.20","None"
"2024-08-25","12:21:48.393 PM","24.54","97.245","25.18","0","23.975","22.47","22.20","None"
"2024-08-25","12:21:48.635 PM","24.54","97.244","25.164","0","23.985","22.42","22.20","None"
"2024-08-25","12:21:48.900 PM","24.54","97.244","25.164","0","23.985","22.42","22.20","None"
"2024-08-25","12:21:49.158 PM","24.54","97.246","25.169","0","23.98","22.42","22.20","None"
"2024-08-25","12:21:49.404 PM","24.54","97.246","25.169","0","23.98","22.49","22.20","None"
"2024-08-25","12:21:49.669 PM","24.54","97.246","25.169","0","23.98","22.49","22.13","None"
"2024-08-25","12:21:49.924 PM","24.54","97.246","25.185","0","23.945","22.49","22.13","None"
"2024-08-25","12:21:50.171 PM","24.54","97.246","25.185","0","23.945","22.40","22.20","None"
"2024-08-25","12:21:50.443 PM","24.54","97.246","25.185","0","23.945","22.40","22.20","None"
"2024-08-25","12:21:50.687 PM","24.54","97.247","25.164","0","23.985","22.40","22.20","None"
"2024-08-25","12:21:50.937 PM","24.54","97.247","25.164","0","23.985","22.48","22.13","None"
"2024-08-25","12:21:51.193 PM","24.54","97.247","25.164","0","23.985","22.48","22.13","None"
"2024-08-25","12:21:51.439 PM","24.54","97.246","25.159","0","23.955","22.48","22.13","None"
"2024-08-25","12:21:51.700 PM","24.54","97.246","25.159","0","23.955","22.42","22.27","None"
"2024-08-25","12:21:52.001 PM","24.54","97.246","25.159","0","23.955","22.42","22.27","None"
"2024-08-25","12:21:52.227 PM","24.54","97.245","25.169","0","23.955","22.49","22.27","None"
"2024-08-25","12:21:52.479 PM","24.54","97.245","25.169","0","23.955","22.49","22.24","None"
"2024-08-25","12:21:52.767 PM","24.54","97.245","25.169","0","23.99","22.49","22.24","None"
"2024-08-25","12:21:52.981 PM","24.54","97.245","25.169","0","23.99","22.46","22.24","None"
"2024-08-25","12:21:53.251 PM","24.54","97.245","25.169","0","23.99","22.46","22.20","None"
"2024-08-25","12:21:53.494 PM","24.54","97.243","25.164","0","23.98","22.46","22.20","None"
"2024-08-25","12:21:53.739 PM","24.54","97.243","25.164","0","23.98","22.49","22.20","None"
"2024-08-25","12:21:53.996 PM","24.54","97.243","25.164","0","23.98","22.49","22.18","None"
"2024-08-25","12:21:54.242 PM","24.54","97.247","25.169","0","24.07","22.49","22.18","None"
"2024-08-25","12:21:54.497 PM","24.54","97.247","25.169","0","24.07","22.44","22.09","None"
"2024-08-25","12:21:54.739 PM","24.54","97.247","25.169","0","24.07","22.44","22.09","None"
"2024-08-25","12:21:55.015 PM","24.54","97.245","25.169","0","23.955","22.44","22.09","None"
"2024-08-25","12:21:55.277 PM","24.54","97.245","25.169","0","23.955","22.48","22.20","None"
"2024-08-25","12:21:55.542 PM","24.54","97.245","25.169","0","23.955","22.48","22.20","None"
"2024-08-25","12:21:55.786 PM","24.54","97.246","25.18","0","23.925","22.47","22.20","None"
"2024-08-25","12:21:56.031 PM","24.54","97.246","25.18","0","23.925","22.47","22.20","None"
"2024-08-25","12:21:56.279 PM","24.54","97.246","25.18","0","23.925","22.47","22.20","None"
"2024-08-25","12:21:56.569 PM","24.54","97.245","25.169","0","23.975","22.45","22.20","None"
"2024-08-25","12:21:56.781 PM","24.54","97.245","25.169","0","23.975","22.45","22.28","None"
"2024-08-25","12:21:57.051 PM","24.54","97.243","25.18","0","23.965","22.45","22.28","None"
"2024-08-25","12:21:57.299 PM","24.54","97.243","25.18","0","23.965","22.45","22.28","None"
"2024-08-25","12:21:57.543 PM","24.54","97.243","25.18","0","23.965","22.45","22.13","None"
"2024-08-25","12:21:57.799 PM","24.54","97.244","25.164","0","24.005","22.45","22.13","None"
"2024-08-25","12:21:58.044 PM","24.54","97.244","25.164","0","24.005","22.42","22.13","None"
"2024-08-25","12:21:58.318 PM","24.54","97.244","25.164","0","24.005","22.42","22.15","None"
"2024-08-25","12:21:58.561 PM","24.53","97.244","25.185","0","23.98","22.42","22.15","None"
"2024-08-25","12:21:58.818 PM","24.53","97.244","25.185","0","23.98","22.49","22.18","None"
"2024-08-25","12:21:59.071 PM","24.53","97.244","25.185","0","23.98","22.49","22.18","None"
"2024-08-25","12:21:59.315 PM","24.53","97.243","25.174","0","23.965","22.49","22.18","None"
"2024-08-25","12:21:59.565 PM","24.53","97.243","25.174","0","23.965","22.46","22.24","None"
"2024-08-25","12:21:59.810 PM","24.53","97.243","25.174","0","23.965","22.46","22.24","None"
"2024-08-25","12:22:00.067 PM","24.53","97.243","25.174","0","23.945","22.46","22.24","None"
"2024-08-25","12:22:00.312 PM","24.53","97.243","25.174","0","23.945","22.45","22.26","None"
"2024-08-25","12:22:00.578 PM","24.53","97.243","25.174","0","23.945","22.45","22.26","None"
"2024-08-25","12:22:00.832 PM","24.53","97.242","25.164","0","23.91","22.46","22.26","None"
"2024-08-25","12:22:01.080 PM","24.53","97.242","25.164","0","23.91","22.46","22.22","None"
"2024-08-25","12:22:01.343 PM","24.53","97.243","25.185","0","24.005","22.46","22.22","None"
"2024-08-25","12:22:01.597 PM","24.53","97.243","25.185","0","24.005","22.45","22.22","None"
"2024-08-25","12:22:01.842 PM","24.53","97.243","25.185","0","24.005","22.45","22.15","None"
"2024-08-25","12:22:02.098 PM","24.53","97.245","25.185","0","23.935","22.45","22.15","None"
"2024-08-25","12:22:02.345 PM","24.53","97.245","25.185","0","23.935","22.44","22.15","None"
"2024-08-25","12:22:02.610 PM","24.53","97.245","25.185","0","23.935","22.44","22.24","None"
"2024-08-25","12:22:02.863 PM","24.53","97.245","25.19","0","23.985","22.44","22.24","None"
"2024-08-25","12:22:03.109 PM","24.53","97.245","25.19","0","23.985","22.45","22.24","None"
"2024-08-25","12:22:03.379 PM","24.53","97.245","25.19","0","23.985","22.45","22.24","None"
"2024-08-25","12:22:03.668 PM","24.52","97.246","25.179","0","24.025","22.45","22.24","None"
"2024-08-25","12:22:03.911 PM","24.52","97.246","25.179","0","24.025","22.35","22.22","None"
"2024-08-25","12:22:04.162 PM","24.52","97.246","25.179","0","24.025","22.35","22.22","None"
"2024-08-25","12:22:04.449 PM","24.52","97.245","25.179","0","23.98","22.45","22.22","None"
"2024-08-25","12:22:04.661 PM","24.52","97.245","25.179","0","23.98","22.45","22.26","None"
"2024-08-25","12:22:04.920 PM","24.52","97.245","25.179","0","23.98","22.45","22.26","None"
"2024-08-25","12:22:05.174 PM","24.52","97.245","25.163","0","24.015","22.42","22.26","None"
"2024-08-25","12:22:05.421 PM","24.52","97.245","25.163","0","24.015","22.42","22.20","None"
"2024-08-25","12:22:05.679 PM","24.52","97.246","25.19","0","23.94","22.42","22.20","None"
"2024-08-25","12:22:05.925 PM","24.52","97.246","25.19","0","23.94","22.40","22.20","None"
"2024-08-25","12:22:06.172 PM","24.52","97.246","25.19","0","23.94","22.40","22.17","None"
"2024-08-25","12:22:06.425 PM","24.52","97.247","25.184","0","23.96","22.40","22.17","None"
"2024-08-25","12:22:06.672 PM","24.52","97.247","25.184","0","23.96","22.48","22.17","None"
"2024-08-25","12:22:06.928 PM","24.52","97.247","25.184","0","23.96","22.48","22.22","None"
"2024-08-25","12:22:07.181 PM","24.52","97.244","25.2","0","23.98","22.48","22.22","None"
"2024-08-25","12:22:07.423 PM","24.52","97.244","25.2","0","23.98","22.42","22.22","None"
"2024-08-25","12:22:07.672 PM","24.52","97.244","25.2","0","23.98","22.42","22.26","None"
"2024-08-25","12:22:07.918 PM","24.53","97.245","25.19","0","23.965","22.42","22.26","None"
"2024-08-25","12:22:08.212 PM","24.53","97.245","25.19","0","23.965","22.40","22.16","None"
"2024-08-25","12:22:08.424 PM","24.53","97.245","25.19","0","23.965","22.40","22.16","None"
"2024-08-25","12:22:08.692 PM","24.53","97.247","25.184","0","23.94","22.40","22.16","None"
"2024-08-25","12:22:08.935 PM","24.53","97.247","25.184","0","23.94","22.44","22.17","None"
"2024-08-25","12:22:09.185 PM","24.53","97.247","25.184","0","23.94","22.44","22.17","None"
"2024-08-25","12:22:09.440 PM","24.53","97.246","25.185","0","23.94","22.44","22.17","None"
"2024-08-25","12:22:09.685 PM","24.53","97.246","25.185","0","23.94","22.44","22.22","None"
"2024-08-25","12:22:09.940 PM","24.53","97.246","25.185","0","23.94","22.44","22.22","None"
"2024-08-25","12:22:10.183 PM","24.53","97.241","25.179","0","23.96","22.45","22.22","None"
"2024-08-25","12:22:10.443 PM","24.53","97.241","25.179","0","23.96","22.45","22.18","None"
"2024-08-25","12:22:10.693 PM","24.53","97.241","25.179","0","23.96","22.45","22.18","None"
"2024-08-25","12:22:10.957 PM","24.52","97.244","25.184","0","23.98","22.45","22.18","None"
"2024-08-25","12:22:11.206 PM","24.52","97.244","25.184","0","23.98","22.45","22.17","None"
"2024-08-25","12:22:11.450 PM","24.52","97.245","25.184","0","23.87","22.45","22.17","None"
"2024-08-25","12:22:11.706 PM","24.52","97.245","25.184","0","23.87","22.44","22.17","None"
"2024-08-25","12:22:11.952 PM","24.52","97.245","25.184","0","23.87","22.44","22.24","None"
"2024-08-25","12:22:12.217 PM","24.53","97.243","25.195","0","23.94","22.44","22.24","None"
"2024-08-25","12:22:12.472 PM","24.53","97.243","25.195","0","23.94","22.44","22.20","None"
"2024-08-25","12:22:13.165 PM","24.53","97.243","25.195","0","23.94","22.44","22.20","None"
"2024-08-25","12:22:13.345 PM","24.53","97.245","25.179","0","23.945","22.44","22.28","None"
"2024-08-25","12:22:13.595 PM","24.53","97.243","25.185","0","23.91","22.44","22.28","None"
"2024-08-25","12:22:13.840 PM","24.53","97.243","25.185","0","23.91","22.47","22.28","None"
"2024-08-25","12:22:14.095 PM","24.53","97.243","25.185","0","23.91","22.47","22.20","None"
"2024-08-25","12:22:14.342 PM","24.53","97.246","25.19","0","23.98","22.47","22.20","None"
"2024-08-25","12:22:14.591 PM","24.53","97.246","25.19","0","23.98","22.38","22.20","None"
"2024-08-25","12:22:14.843 PM","24.53","97.246","25.19","0","23.98","22.38","22.26","None"
"2024-08-25","12:22:15.090 PM","24.53","97.241","25.19","0","23.985","22.38","22.26","None"
"2024-08-25","12:22:15.397 PM","24.53","97.241","25.19","0","23.985","22.49","22.18","None"
"2024-08-25","12:22:15.621 PM","24.53","97.241","25.19","0","23.985","22.49","22.18","None"
"2024-08-25","12:22:15.876 PM","24.53","97.238","25.201","0","23.92","22.49","22.18","None"
"2024-08-25","12:22:16.163 PM","24.53","97.238","25.201","0","23.92","22.44","22.24","None"
"2024-08-25","12:22:16.380 PM","24.53","97.238","25.201","0","23.92","22.44","22.24","None"
"2024-08-25","12:22:16.631 PM","24.53","97.24","25.179","0","23.92","22.48","22.24","None"
"2024-08-25","12:22:16.875 PM","24.53","97.24","25.179","0","23.92","22.48","22.22","None"
"2024-08-25","12:22:17.124 PM","24.53","97.24","25.179","0","23.92","22.48","22.22","None"
"2024-08-25","12:22:17.382 PM","24.53","97.239","25.169","0","24.005","22.38","22.22","None"
"2024-08-25","12:22:17.624 PM","24.53","97.239","25.169","0","24.005","22.38","22.20","None"
"2024-08-25","12:22:17.880 PM","24.53","97.239","25.169","0","24.005","22.38","22.20","None"
"2024-08-25","12:22:18.124 PM","24.53","97.237","25.179","0","23.99","22.46","22.20","None"
"2024-08-25","12:22:18.378 PM","24.53","97.237","25.179","0","23.99","22.46","22.22","None"
"2024-08-25","12:22:18.634 PM","24.53","97.242","25.201","0","23.975","22.46","22.22","None"
"2024-08-25","12:22:18.881 PM","24.53","97.242","25.201","0","23.975","22.46","22.22","None"
"2024-08-25","12:22:19.133 PM","24.53","97.242","25.201","0","23.975","22.46","22.26","None"
"2024-08-25","12:22:19.381 PM","24.53","97.244","25.19","0","23.925","22.46","22.26","None"
"2024-08-25","12:22:19.624 PM","24.53","97.244","25.19","0","23.925","22.41","22.26","None"
"2024-08-25","12:22:19.927 PM","24.53","97.244","25.19","0","23.925","22.41","22.24","None"
"2024-08-25","12:22:20.145 PM","24.53","97.245","25.19","0","23.91","22.41","22.24","None"
"2024-08-25","12:22:20.402 PM","24.53","97.245","25.19","0","23.91","22.55","22.18","None"
"2024-08-25","12:22:20.643 PM","24.53","97.245","25.19","0","23.91","22.55","22.18","None"
"2024-08-25","12:22:20.890 PM","24.53","97.244","25.185","0","23.91","22.55","22.18","None"
"2024-08-25","12:22:21.147 PM","24.53","97.244","25.185","0","23.91","22.42","22.20","None"
"2024-08-25","12:22:21.393 PM","24.53","97.244","25.185","0","23.91","22.42","22.20","None"
"2024-08-25","12:22:21.663 PM","24.53","97.244","25.19","0","23.94","22.49","22.20","None"
"2024-08-25","12:22:21.909 PM","24.53","97.244","25.19","0","23.94","22.49","22.18","None"
"2024-08-25","12:22:22.185 PM","24.53","97.244","25.19","0","23.94","22.49","22.18","None"
"2024-08-25","12:22:22.436 PM","24.53","97.242","25.201","0","23.99","22.45","22.18","None"
"2024-08-25","12:22:22.696 PM","24.53","97.242","25.201","0","23.99","22.45","22.24","None"
"2024-08-25","12:22:22.949 PM","24.53","97.242","25.206","0","23.865","22.45","22.24","None"
"2024-08-25","12:22:23.195 PM","24.53","97.242","25.206","0","23.865","22.37","22.24","None"
"2024-08-25","12:22:23.452 PM","24.53","97.242","25.206","0","23.865","22.37","22.22","None"
"2024-08-25","12:22:23.694 PM","24.53","97.243","25.196","0","23.96","22.37","22.22","None"
"2024-08-25","12:22:23.958 PM","24.53","97.243","25.196","0","23.96","22.44","22.22","None"
"2024-08-25","12:22:24.216 PM","24.53","97.243","25.196","0","23.96","22.44","22.24","None"
"2024-08-25","12:22:24.464 PM","24.53","97.245","25.19","0","23.815","22.44","22.24","None"
"2024-08-25","12:22:24.726 PM","24.53","97.245","25.19","0","23.815","22.53","22.26","None"
"2024-08-25","12:22:24.980 PM","24.53","97.245","25.19","0","23.815","22.53","22.26","None"
"2024-08-25","12:22:25.226 PM","24.53","97.246","25.206","0","24.01","22.53","22.26","None"
"2024-08-25","12:22:25.499 PM","24.53","97.246","25.206","0","24.01","22.45","22.17","None"
"2024-08-25","12:22:25.743 PM","24.53","97.246","25.206","0","24.01","22.45","22.17","None"
"2024-08-25","12:22:25.993 PM","24.53","97.246","25.179","0","23.895","22.45","22.17","None"
"2024-08-25","12:22:26.249 PM","24.53","97.246","25.179","0","23.895","22.45","22.22","None"
"2024-08-25","12:22:26.494 PM","24.53","97.246","25.179","0","23.895","22.45","22.22","None"
"2024-08-25","12:22:26.762 PM","24.53","97.245","25.195","0","23.925","22.45","22.22","None"
"2024-08-25","12:22:27.069 PM","24.53","97.245","25.195","0","23.925","22.45","22.22","None"
"2024-08-25","12:22:27.287 PM","24.53","97.244","25.195","0","23.885","22.45","22.22","None"
"2024-08-25","12:22:27.538 PM","24.53","97.244","25.195","0","23.885","22.45","22.22","None"
"2024-08-25","12:22:27.823 PM","24.53","97.244","25.195","0","23.885","22.45","22.22","None"
"2024-08-25","12:22:28.036 PM","24.53","97.242","25.19","0","23.995","22.45","22.22","None"
"2024-08-25","12:22:28.306 PM","24.53","97.242","25.19","0","23.995","22.41","22.27","None"
"2024-08-25","12:22:28.549 PM","24.53","97.242","25.19","0","23.995","22.41","22.27","None"
"2024-08-25","12:22:28.796 PM","24.53","97.242","25.206","0","23.9","22.41","22.27","None"
"2024-08-25","12:22:29.051 PM","24.53","97.242","25.206","0","23.9","22.44","22.26","None"
"2024-08-25","12:22:29.299 PM","24.53","97.242","25.206","0","23.9","22.44","22.26","None"
"2024-08-25","12:22:29.552 PM","24.53","97.242","25.195","0","23.915","22.44","22.26","None"
"2024-08-25","12:22:29.796 PM","24.53","97.242","25.195","0","23.915","22.46","22.18","None"
"2024-08-25","12:22:30.047 PM","24.53","97.242","25.195","0","23.915","22.46","22.18","None"
"2024-08-25","12:22:30.309 PM","24.53","97.243","25.206","0","23.935","22.42","22.18","None"
"2024-08-25","12:22:30.570 PM","24.53","97.243","25.206","0","23.935","22.42","22.24","None"
"2024-08-25","12:22:30.830 PM","24.53","97.243","25.206","0","23.935","22.42","22.24","None"
"2024-08-25","12:22:31.071 PM","24.53","97.24","25.206","0","23.98","22.49","22.24","None"
"2024-08-25","12:22:31.334 PM","24.53","97.24","25.206","0","23.98","22.49","22.20","None"
"2024-08-25","12:22:31.579 PM","24.53","97.24","25.196","0","23.96","22.49","22.20","None"
"2024-08-25","12:22:31.829 PM","24.53","97.24","25.196","0","23.96","22.42","22.20","None"
"2024-08-25","12:22:32.080 PM","24.53","97.24","25.196","0","23.96","22.42","22.26","None"
"2024-08-25","12:22:32.346 PM","24.53","97.242","25.201","0","23.93","22.42","22.26","None"
"2024-08-25","12:22:32.597 PM","24.53","97.242","25.201","0","23.93","22.42","22.18","None"
"2024-08-25","12:22:32.848 PM","24.53","97.242","25.201","0","23.93","22.42","22.18","None"
"2024-08-25","12:22:33.101 PM","24.53","97.241","25.212","0","23.975","22.42","22.18","None"
"2024-08-25","12:22:33.366 PM","24.53","97.241","25.212","0","23.975","22.42","22.27","None"
"2024-08-25","12:22:33.616 PM","24.53","97.241","25.212","0","23.975","22.42","22.27","None"
"2024-08-25","12:22:33.868 PM","24.53","97.241","25.19","0","24","22.42","22.27","None"
"2024-08-25","12:22:34.116 PM","24.53","97.241","25.19","0","24","22.47","22.24","None"
"2024-08-25","12:22:34.367 PM","24.53","97.241","25.19","0","24","22.47","22.24","None"
"2024-08-25","12:22:34.621 PM","24.53","97.243","25.196","0","23.98","22.45","22.24","None"
"2024-08-25","12:22:34.865 PM","24.53","97.243","25.196","0","23.98","22.45","22.18","None"
"2024-08-25","12:22:35.138 PM","24.53","97.243","25.196","0","23.98","22.45","22.18","None"
"2024-08-25","12:22:35.389 PM","24.53","97.242","25.18","0","23.96","22.41","22.18","None"
"2024-08-25","12:22:35.695 PM","24.53","97.242","25.18","0","23.96","22.41","22.24","None"
"2024-08-25","12:22:35.965 PM","24.53","97.243","25.195","0","23.965","22.41","22.24","None"
"2024-08-25","12:22:36.184 PM","24.53","97.243","25.195","0","23.965","22.48","22.24","None"
"2024-08-25","12:22:36.430 PM","24.53","97.243","25.195","0","23.965","22.48","22.17","None"
"2024-08-25","12:22:36.712 PM","24.53","97.243","25.185","0","23.99","22.48","22.17","None"
"2024-08-25","12:22:36.923 PM","24.53","97.243","25.185","0","23.99","22.47","22.20","None"
"2024-08-25","12:22:37.178 PM","24.53","97.243","25.185","0","23.99","22.47","22.20","None"
"2024-08-25","12:22:37.425 PM","24.53","97.244","25.195","0","23.96","22.47","22.20","None"
"2024-08-25","12:22:37.669 PM","24.53","97.244","25.195","0","23.96","22.46","22.20","None"
"2024-08-25","12:22:37.925 PM","24.53","97.244","25.195","0","23.96","22.46","22.20","None"
"2024-08-25","12:22:38.172 PM","24.52","97.244","25.184","0","23.915","22.46","22.20","None"
"2024-08-25","12:22:38.446 PM","24.52","97.244","25.184","0","23.915","22.40","22.27","None"
"2024-08-25","12:22:38.689 PM","24.52","97.244","25.184","0","23.915","22.40","22.27","None"
"2024-08-25","12:22:38.945 PM","24.52","97.245","25.19","0","23.96","22.45","22.27","None"
"2024-08-25","12:22:39.194 PM","24.52","97.245","25.19","0","23.96","22.45","22.29","None"
"2024-08-25","12:22:39.447 PM","24.52","97.245","25.19","0","23.96","22.45","22.29","None"
"2024-08-25","12:22:39.692 PM","24.52","97.244","25.179","0","24.025","22.48","22.29","None"
"2024-08-25","12:22:39.938 PM","24.52","97.244","25.179","0","24.025","22.48","22.28","None"
"2024-08-25","12:22:40.206 PM","24.52","97.244","25.184","0","23.995","22.48","22.28","None"
"2024-08-25","12:22:40.464 PM","24.52","97.244","25.184","0","23.995","22.38","22.28","None"
"2024-08-25","12:22:40.706 PM","24.52","97.244","25.184","0","23.995","22.38","22.26","None"
"2024-08-25","12:22:40.957 PM","24.52","97.244","25.174","0","23.945","22.38","22.26","None"
"2024-08-25","12:22:41.211 PM","24.52","97.244","25.174","0","23.945","22.42","22.26","None"
"2024-08-25","12:22:41.471 PM","24.52","97.244","25.174","0","23.945","22.42","22.22","None"
"2024-08-25","12:22:41.725 PM","24.53","97.243","25.168","0","24.005","22.42","22.22","None"
"2024-08-25","12:22:41.971 PM","24.53","97.243","25.168","0","24.005","22.42","22.20","None"
"2024-08-25","12:22:42.222 PM","24.53","97.243","25.168","0","24.005","22.42","22.20","None"
"2024-08-25","12:22:42.474 PM","24.53","97.242","25.179","0","23.975","22.42","22.20","None"
"2024-08-25","12:22:42.720 PM","24.53","97.242","25.179","0","23.975","22.42","22.20","None"
"2024-08-25","12:22:42.970 PM","24.53","97.242","25.179","0","23.975","22.42","22.20","None"
"2024-08-25","12:22:43.224 PM","24.53","97.237","25.195","0","23.905","22.48","22.20","None"
"2024-08-25","12:22:43.473 PM","24.53","97.237","25.195","0","23.905","22.48","22.24","None"
"2024-08-25","12:22:43.789 PM","24.53","97.237","25.195","0","23.905","22.48","22.24","None"
"2024-08-25","12:22:44.002 PM","24.52","97.241","25.179","0","23.92","22.47","22.24","None"
"2024-08-25","12:22:44.276 PM","24.52","97.241","25.179","0","23.92","22.47","22.22","None"
"2024-08-25","12:22:44.542 PM","24.52","97.24","25.174","0","23.98","22.47","22.22","None"
"2024-08-25","12:22:44.762 PM","24.52","97.24","25.174","0","23.98","22.44","22.22","None"
"2024-08-25","12:22:45.016 PM","24.52","97.24","25.174","0","23.98","22.44","22.18","None"
"2024-08-25","12:22:45.262 PM","24.52","97.242","25.168","0","23.94","22.44","22.18","None"
"2024-08-25","12:22:45.508 PM","24.52","97.242","25.168","0","23.94","22.41","22.18","None"
"2024-08-25","12:22:45.765 PM","24.52","97.242","25.168","0","23.94","22.41","22.20","None"
"2024-08-25","12:22:46.012 PM","24.52","97.242","25.178","0","23.96","22.41","22.20","None"
"2024-08-25","12:22:46.267 PM","24.52","97.242","25.178","0","23.96","22.48","22.28","None"
"2024-08-25","12:22:46.514 PM","24.52","97.242","25.178","0","23.96","22.48","22.28","None"
"2024-08-25","12:22:46.769 PM","24.52","97.242","25.189","0","24","22.48","22.28","None"
"2024-08-25","12:22:47.043 PM","24.52","97.242","25.189","0","24","22.48","22.26","None"
"2024-08-25","12:22:47.292 PM","24.52","97.242","25.189","0","24","22.48","22.26","None"
"2024-08-25","12:22:47.540 PM","24.52","97.242","25.178","0","23.94","22.46","22.26","None"
"2024-08-25","12:22:47.786 PM","24.52","97.242","25.178","0","23.94","22.46","22.22","None"
"2024-08-25","12:22:48.033 PM","24.52","97.242","25.178","0","23.94","22.46","22.22","None"
"2024-08-25","12:22:48.293 PM","24.51","97.241","25.178","0","24.055","22.33","22.22","None"
"2024-08-25","12:22:48.574 PM","24.51","97.241","25.178","0","24.055","22.33","22.17","None"
"2024-08-25","12:22:48.786 PM","24.51","97.241","25.178","0","24.055","22.33","22.17","None"
"2024-08-25","12:22:49.063 PM","24.51","97.242","25.194","0","23.99","22.38","22.17","None"
"2024-08-25","12:22:49.311 PM","24.51","97.242","25.194","0","23.99","22.38","22.26","None"
"2024-08-25","12:22:49.554 PM","24.51","97.241","25.173","0","23.97","22.38","22.26","None"
"2024-08-25","12:22:49.805 PM","24.51","97.241","25.173","0","23.97","22.42","22.26","None"
"2024-08-25","12:22:50.048 PM","24.51","97.241","25.173","0","23.97","22.42","22.15","None"
"2024-08-25","12:22:50.307 PM","24.51","97.244","25.178","0","23.98","22.42","22.15","None"
"2024-08-25","12:22:50.548 PM","24.51","97.244","25.178","0","23.98","22.42","22.15","None"
"2024-08-25","12:22:50.822 PM","24.51","97.244","25.178","0","23.98","22.42","22.27","None"
"2024-08-25","12:22:51.071 PM","24.51","97.244","25.173","0","23.92","22.42","22.27","None"
"2024-08-25","12:22:51.358 PM","24.51","97.244","25.173","0","23.92","22.40","22.17","None"
"2024-08-25","12:22:51.745 PM","24.51","97.244","25.173","0","23.92","22.40","22.17","None"
"2024-08-25","12:22:51.837 PM","24.51","97.24","25.183","0","23.93","22.40","22.17","None"
"2024-08-25","12:22:52.128 PM","24.51","97.24","25.183","0","23.93","22.38","22.17","None"
"2024-08-25","12:22:52.338 PM","24.51","97.24","25.183","0","23.93","22.38","22.17","None"
"2024-08-25","12:22:52.674 PM","24.51","97.237","25.199","0","23.965","22.35","22.17","None"
"2024-08-25","12:22:52.862 PM","24.51","97.237","25.199","0","23.965","22.35","22.23","None"
"2024-08-25","12:22:53.104 PM","24.51","97.237","25.199","0","23.965","22.35","22.23","None"
"2024-08-25","12:22:53.360 PM","24.51","97.24","25.183","0","23.975","22.42","22.23","None"
"2024-08-25","12:22:53.597 PM","24.51","97.24","25.183","0","23.975","22.42","22.27","None"
"2024-08-25","12:22:53.853 PM","24.51","97.24","25.205","0","23.98","22.42","22.27","None"
"2024-08-25","12:22:54.105 PM","24.51","97.24","25.205","0","23.98","22.38","22.27","None"
"2024-08-25","12:22:54.351 PM","24.51","97.24","25.205","0","23.98","22.38","22.20","None"
"2024-08-25","12:22:54.598 PM","24.51","97.243","25.194","0","23.91","22.38","22.20","None"
"2024-08-25","12:22:54.856 PM","24.51","97.243","25.194","0","23.91","22.38","22.20","None"
"2024-08-25","12:22:55.121 PM","24.51","97.243","25.194","0","23.91","22.38","22.18","None"
"2024-08-25","12:22:55.356 PM","24.51","97.243","25.199","0","23.935","22.38","22.18","None"
"2024-08-25","12:22:55.614 PM","24.51","97.243","25.199","0","23.935","22.46","22.18","None"
"2024-08-25","12:22:55.855 PM","24.51","97.243","25.199","0","23.935","22.46","22.29","None"
"2024-08-25","12:22:56.101 PM","24.51","97.243","25.194","0","23.955","22.46","22.29","None"
"2024-08-25","12:22:56.402 PM","24.51","97.243","25.194","0","23.955","22.45","22.20","None"
"2024-08-25","12:22:56.626 PM","24.51","97.243","25.194","0","23.955","22.45","22.20","None"
"2024-08-25","12:22:56.874 PM","24.51","97.242","25.215","0","23.915","22.45","22.20","None"
"2024-08-25","12:22:57.127 PM","24.51","97.242","25.215","0","23.915","22.42","22.17","None"
"2024-08-25","12:22:57.386 PM","24.51","97.242","25.215","0","23.915","22.42","22.17","None"
"2024-08-25","12:22:57.621 PM","24.51","97.241","25.199","0","23.995","22.38","22.17","None"
"2024-08-25","12:22:57.877 PM","24.51","97.241","25.199","0","23.995","22.38","22.26","None"
"2024-08-25","12:22:58.120 PM","24.51","97.241","25.199","0","23.995","22.38","22.26","None"
"2024-08-25","12:22:58.384 PM","24.51","97.241","25.199","0","23.94","22.38","22.26","None"
"2024-08-25","12:22:58.628 PM","24.51","97.241","25.199","0","23.94","22.38","22.23","None"
"2024-08-25","12:22:58.893 PM","24.51","97.24","25.216","0","23.99","22.38","22.23","None"
"2024-08-25","12:22:59.129 PM","24.51","97.24","25.216","0","23.99","22.45","22.23","None"
"2024-08-25","12:22:59.388 PM","24.51","97.24","25.216","0","23.99","22.45","22.23","None"
"2024-08-25","12:22:59.624 PM","24.51","97.241","25.2","0","23.98","22.45","22.23","None"
